date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2014-11-05,2015,0,,SAS,ATL,1693.1268,1494.0365,0.8483479561212748,0.15165204387872522,1694.3094,1492.8539,,,,,,,,,,,94,92
2014-11-05,2015,0,,BOS,TOR,1390.2681,1567.5104,0.39063533084530494,0.609364669154695,1386.1544,1571.624,,,,,,,,,,,107,110
2014-11-05,2015,0,,CHO,MIA,1495.4562,1578.0277,0.5250606107678356,0.4749393892321644,1503.3374,1570.1465,,,,,,,,,,,96,89
2014-11-05,2015,0,,SAC,DEN,1459.156,1463.2131,0.6346671258641045,0.36533287413589555,1471.0381,1451.3311,,,,,,,,,,,131,109
2014-11-05,2015,0,,PHI,ORL,1295.0255,1337.3835,0.5822006914518085,0.4177993085481915,1289.1273,1343.2817,,,,,,,,,,,89,91
2014-11-05,2015,0,,BRK,MIN,1534.8898,1508.1306,0.6747360587779166,0.32526394122208335,1522.2559,1520.7645,,,,,,,,,,,91,98
2014-11-06,2015,0,,HOU,SAS,1640.0063,1694.3094,0.5653865157640535,0.4346134842359465,1652.2893,1682.0265,,,,,,,,,,,98,81
2014-11-06,2015,0,,POR,DAL,1566.2142,1601.5667,0.5919761997974322,0.4080238002025678,1579.3641,1588.4167,,,,,,,,,,,108,87
2014-11-07,2015,0,,BOS,IND,1386.1544,1496.6584,0.484888132821298,0.515111867178702,1391.9628,1490.8501,,,,,,,,,,,101,98
2014-11-07,2015,0,,OKC,MEM,1577.488,1614.6375,0.589475261133243,0.410524738866757,1571.4899,1620.6356,,,,,,,,,,,89,91
2014-11-07,2015,0,,ORL,MIN,1343.2817,1520.7645,0.3903058321124255,0.6096941678875745,1355.9354,1508.1108,,,,,,,,,,,112,103
2014-11-07,2015,0,,CHO,ATL,1503.3374,1492.8539,0.6538473723191562,0.34615262768084376,1506.8936,1489.2977,,,,,,,,,,,122,119
2014-11-07,2015,0,,DET,MIL,1377.3285,1333.151,0.6963448661469024,0.3036551338530976,1380.3726,1330.1069,,,,,,,,,,,98,95
2014-11-07,2015,0,,DEN,CLE,1451.3311,1458.5249,0.6304704162250988,0.3695295837749012,1438.0729,1471.7831,,,,,,,,,,,101,110
2014-11-07,2015,0,,UTA,DAL,1395.5083,1588.4167,0.3693925312084974,0.6306074687915026,1383.0833,1600.8418,,,,,,,,,,,82,105
2014-11-07,2015,0,,PHI,CHI,1289.1273,1570.2413,0.26065326055320087,0.7393467394467992,1286.5818,1572.7869,,,,,,,,,,,115,118
2014-11-07,2015,0,,PHO,SAC,1537.7123,1471.0381,0.7230124376172111,0.2769875623827889,1529.6503,1479.1001,,,,,,,,,,,112,114
2014-11-07,2015,0,,TOR,WAS,1571.624,1563.3861,0.6509158675027826,0.34908413249721737,1581.7811,1553.229,,,,,,,,,,,103,84
